Localidad;Departamento;Provincia;Latitud;Longitud;Estado
Durazno;Tala;Entre Rios;-31,98889722;-59,28122222;Conectado
Egusquiza;Castellanos;Santa Fe;-31,09433333;-61,62680556;Conectado
El Acheral;San Pedro;Jujuy;-24,403414;-64,798362;Conectado
El Arbolito;Colon;Buenos Aires;-33,914387;-60,945069;Conectado
El Bolson;Bariloche;Rio Negro;-41,97290556;-71,52751667;Conectado
El Cabure;Copo;Santiago del Estero;-26,01355278;-62,33858056;Conectado
El Calafate;Lago Argentino;Santa Cruz;-50,33863611;-72,25456944;Conectado
El Chacho;Minas;Cordoba;-30,79963056;-65,65626389;Conectado
El Charco;Jimenez;Santiago del Estero;-27,23038611;-64,70580833;Conectado
El Chocon;Confluencia;Neuquen;-39,26081389;-68,82387222;Conectado
El Cimarron;Federal;Entre Rios;-30,98631142;-58,97818793;Conectado
El Dean;Capital;Santiago del Estero;-27,69189722;-64,35109167;Conectado
El Desmonte;Santa Maria;Catamarca;-26,88487778;-66,09943611;Conectado
El Dorado;Leandro N. Alem;Buenos Aires;-34,64856389;-61,58135;Conectado
El Foyel;Bariloche;Rio Negro;-41,65309167;-71,45965278;Conectado
El Fuertecito;San Justo;Cordoba;-31,40458611;-62,97202778;Conectado
El Galpon;Metan;Salta;-25,38356111;-64,65725;Conectado
El Hoyo;Cushamen;Chubut;-42,06164873;-71,49517054;Conectado
El Juncal;Adolfo Alsina;Rio Negro;-40,80725;-63,12633333;Conectado
El Medano;Jachal;San Juan;-30,12666;-68,682399;Conectado
El Mollar cambia por San Antonio;Tafi del Valle;Tucuman;-26,93918889;-65,70302778;Conectado
El Nihuil;San Rafael;Mendoza;-35,03251205;-68,67622192;Conectado
El Palenque;Parana;Entre Rios;-31,65583056;-60,16800278;Conectado
El Paraiso;Ramallo;Buenos Aires;-33,56727778;-59,98036111;Conectado
El Pingo;Parana;Entre Rios;-31,58163333;-59,89108333;Conectado
